ID	6 | 0.02	6 | 0.1	6 | 10	6 | 25	6 | 50	6 | 100	6 | 250	6 | 500	6 | 1000	5 | 0.02	5 | 0.1	5 | 10	5 | 25	5 | 50	5 | 100	5 | 250	5 | 500	5 | 1000	4 | 0.02	4 | 0.1	4 | 10	4 | 25	4 | 50	4 | 100	4 | 250	4 | 500	4 | 1000
1992	no match	no match	no match	no match	no match	no match	CCMSLIB00005720236	CCMSLIB00000084924	CCMSLIB00004708860	no match	no match	no match	no match	no match	CCMSLIB00010129519	CCMSLIB00000845635	CCMSLIB00000845433	CCMSLIB00012338019	no match	no match	no match	CCMSLIB00000577526	CCMSLIB00000577526	CCMSLIB00000577526	CCMSLIB00005721727	CCMSLIB00005721727	CCMSLIB00005745412
2504	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999	CCMSLIB00006709999
2509	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00006575625	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	no match	no match	CCMSLIB00012465827	CCMSLIB00012465827	CCMSLIB00012404615	CCMSLIB00012404615	CCMSLIB00006570476	CCMSLIB00006570476	CCMSLIB00006570476	no match	no match	CCMSLIB00012465827	CCMSLIB00010143842	CCMSLIB00012404638	CCMSLIB00012404615	CCMSLIB00005883783	CCMSLIB00005883783	CCMSLIB00005883783
1485	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00010104739	CCMSLIB00010104739	CCMSLIB00010104739	CCMSLIB00010104739	no match	no match	no match	CCMSLIB00005742237	CCMSLIB00005742237	CCMSLIB00005742237	CCMSLIB00012413797	CCMSLIB00012413797	CCMSLIB00012413797	no match	no match	CCMSLIB00006562422	CCMSLIB00005742237	CCMSLIB00005742237	CCMSLIB00012384644	CCMSLIB00005775638	CCMSLIB00005775638	CCMSLIB00005775638
1487	no match	no match	no match	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00005463504	CCMSLIB00005463504	no match	no match	CCMSLIB00012333569	CCMSLIB00012333569	CCMSLIB00012333569	CCMSLIB00012333569	CCMSLIB00012333569	CCMSLIB00000086070	CCMSLIB00000086070	no match	no match	CCMSLIB00012333569	CCMSLIB00012333569	CCMSLIB00012333569	CCMSLIB00012333569	CCMSLIB00012315135	CCMSLIB00006484388	CCMSLIB00006484388
2000	no match	no match	CCMSLIB00005463504	CCMSLIB00006572156	CCMSLIB00006572156	CCMSLIB00006386861	CCMSLIB00012450011	CCMSLIB00012450011	CCMSLIB00012450011	no match	no match	CCMSLIB00005465408	CCMSLIB00006402396	CCMSLIB00006402396	CCMSLIB00012474953	CCMSLIB00012474606	CCMSLIB00012474606	CCMSLIB00012474606	no match	CCMSLIB00000079461	CCMSLIB00000079802	CCMSLIB00006402396	CCMSLIB00006527817	CCMSLIB00012474953	CCMSLIB00012474606	CCMSLIB00012474606	CCMSLIB00012474606
2003	no match	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	no match	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00000070282	CCMSLIB00001059640	CCMSLIB00001059640	CCMSLIB00001059640	no match	CCMSLIB00012428406	CCMSLIB00012428406	CCMSLIB00012428406	CCMSLIB00012428406	CCMSLIB00012428406	CCMSLIB00012428406	CCMSLIB00012428406	CCMSLIB00012428406
2518	no match	no match	no match	no match	no match	no match	CCMSLIB00005463539	CCMSLIB00005463539	CCMSLIB00005463539	no match	no match	no match	no match	no match	no match	CCMSLIB00005463539	CCMSLIB00005463539	CCMSLIB00005463539	no match	no match	CCMSLIB00012342902	CCMSLIB00012342902	CCMSLIB00012342902	CCMSLIB00012342902	CCMSLIB00012342902	CCMSLIB00012342902	CCMSLIB00012342902
2519	no match	no match	no match	no match	no match	no match	CCMSLIB00005463539	CCMSLIB00006575625	CCMSLIB00006575625	no match	no match	no match	no match	no match	no match	CCMSLIB00011431712	CCMSLIB00011431315	CCMSLIB00011431315	no match	CCMSLIB00005721790	CCMSLIB00005721790	CCMSLIB00005721790	CCMSLIB00010147928	CCMSLIB00012329188	CCMSLIB00012277977	CCMSLIB00012277977	CCMSLIB00012277977
2011	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00006575624	CCMSLIB00006709979	CCMSLIB00006709979	CCMSLIB00006709979	no match	no match	CCMSLIB00012316214	CCMSLIB00012316214	CCMSLIB00012323035	CCMSLIB00012323035	CCMSLIB00012323035	CCMSLIB00012323035	CCMSLIB00012323035	no match	no match	CCMSLIB00012316214	CCMSLIB00012387197	CCMSLIB00012255012	CCMSLIB00012255012	CCMSLIB00012255012	CCMSLIB00012255012	CCMSLIB00012255012
