row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,LEV623-finale.mzXML Peak area,
620,591.3682221059353,14.987583,,,,162,,,,,,,14311.625,
273,591.3682257671577,12.863883,,,,141,,,,,,,14813.457,
1254,593.3365858545553,18.397667,,,,102,,,,,,,6200.33,
435,593.3835075816639,13.8802,,,,22,,,,,,,123292.72,
2155,595.2692918154269,23.780666,,,,,,,,,,,18396.994,
2193,595.2695681285305,24.0195,,,,29,,,,,,,25129.428,
2278,595.270038833742,24.5655,,,,8,,,,,,,7012.6826,
1198,597.3561235631539,18.1095,,,,51,,,,,,,17438.656,
45,597.3708551338229,9.0289,,,,109,,,,,,,1895.7882,
1173,599.3717623363566,17.996334,,,,78,,,,,,,21475.37,
1272,601.3884905728299,18.485167,,,,120,,,,,,,48091.996,
570,603.3661864898087,14.7503,,,,12,,,,,,,5367.2847,
506,603.3675170061459,14.393833,,,,60,,,,,,,21567.674,
1803,605.3012423392273,21.437834,,,,0,,,,,,,12667.741,
163,605.3820644401908,11.3856,,,,100,,,,,,,4742.851,
214,605.3822639666801,12.296416,,,,103,,,,,,,10963.917,
98,605.3823529463505,10.45685,,,,123,,,,,,,4979.3325,
444,605.3832435323085,13.918,,,,22,,,,,,,49986.508,
380,605.383747867755,13.528633,,,,101,,,,,,,107781.57,
2457,606.2864877124146,27.1355,,,,24,,,,,,,7850.4653,
669,606.3167174827902,15.41095,,,,105,,,,,,,31041.62,
445,606.3860185174177,13.918,,,,22,,,,,,,22769.965,
1648,607.3156973307638,20.5655,,,,93,,,,,,,64053.19,
1649,608.3193893691068,20.5655,,,,93,,,,,,,23821.428,
2523,611.3006045113862,28.9345,,,,,,,,,,,1514.666,
2332,613.224337590355,25.346834,,,,,,,,,,,8212.3,
2306,613.351070872993,24.8225,,,,39,,,,,,,8966.384,
2368,613.3516676486524,25.593666,,,,160,,,,,,,21181.426,
1950,613.3526255476596,22.3395,,,,82,,,,,,,175898.7,
1202,615.3654748247438,18.152,,,,51,,,,,,,9934.765,
1036,615.3662632447267,17.255333,,,,26,,,,,,,8986.235,
339,615.3687644959241,13.258966,,,,37,,,,,,,226113.52,
340,616.3716384598016,13.258966,,,,37,,,,,,,99011.56,
1065,617.3483384196157,17.449333,,,,13,,,,,,,67059.88,
1192,617.3838812006767,18.0705,,,,51,,,,,,,188740.16,
220,619.3633423698018,12.339483,,,,103,,,,,,,10815.76,
2054,621.3303913586319,23.152666,,,,1,,,,,,,16487.977,
534,621.3773039618858,14.5902,,,,4,,,,,,,9420.159,
364,621.3786664532122,13.415517,,,,16,,,,,,,112716.28,
365,622.3816831389831,13.415517,,,,16,,,,,,,45976.49,
1700,623.3459845041361,20.927,,,,,,,,,,,42794.79,
2329,627.2959247932795,25.2175,,,,10,,,,,,,5385.49,
1089,627.3670594203822,17.567,,,,15,,,,,,,18884.988,
1754,629.3453594070397,21.1435,,,,48,,,,,,,13171.6,
1589,629.3460997955141,20.188667,,,,77,,,,,,,15459.832,
398,629.3587542872125,13.646317,,,,46,,,,,,,8987.578,
1496,629.381190106633,19.523,,,,18,,,,,,,11992.427,
1083,629.3827238650729,17.527834,,,,15,,,,,,,43589.188,
1183,629.3834518748095,18.033833,,,,51,,,,,,,56806.652,
1084,630.3856175494698,17.527834,,,,15,,,,,,,18945.094,
410,631.3629194874275,13.725284,,,,35,,,,,,,47671.984,
2046,631.3632550057008,23.1115,,,,1,,,,,,,127944.28,
572,631.363471441825,14.7503,,,,12,,,,,,,30043.537,
1426,631.3985754569645,19.203333,,,,94,5,[M+H]+,,2,1426;1429,630.39051,1893153.6,
1427,632.4017978966967,19.203333,,,,94,,,,,,,890062.1,
705,633.3760814068729,15.530784,,,,146,1,[2M+Na]+,,2,696;705,305.19343,6882.947,
1066,633.3771079614642,17.449333,,,,13,,,,,,,24946.543,
1613,637.3276919263152,20.355833,,,,97,,,,,,,7110.8037,
1518,639.3410367998486,19.683,,,,129,,,,,,,17159.35,
1742,643.3491577960469,21.098833,,,,48,,,,,,,20535.748,
2565,645.30579998521,30.734833,,,,,,,,,,,5916.369,
2547,645.3064071578475,30.013,,,,,,,,,,,2473.6653,
2558,645.3072058603186,30.459167,,,,,,,,,,,2959.4211,
1719,645.3422796915966,20.968834,,,,34,,,,,,,16646.5,
1264,645.3757228382188,18.440332,,,,126,,,,,,,8780.3125,
280,645.377235347888,12.9077835,,,,62,,,,,,,13680.575,
2175,645.3775421426532,23.897667,,,,41,,,,,,,23387.328,
2014,645.3780133397648,22.868334,,,,81,,,,,,,33372.348,
1720,646.3460441877567,20.968834,,,,34,,,,,,,6793.448,
1670,647.3588593871337,20.697666,,,,152,,,,,,,8392.87,
1907,647.3921602503564,21.989666,,,,,,,,,,,12219.5625,
1405,647.394022888102,19.117834,,,,94,,,,,,,335138.3,
856,647.3944994814258,16.27075,,,,107,,,,,,,49858.062,
1826,649.3366752243992,21.568666,,,,28,,,,,,,12465.713,
641,649.3741282291109,15.257633,,,,111,,,,,,,100429.32,
1429,653.3789286003964,19.203333,,,,94,5,[M+Na]+,,2,1426;1429,630.39051,8377.972,
89,655.3760648863639,10.15705,,,,158,,,,,,,3663.2195,
2407,656.3929786861684,26.2295,,,,21,,,,,,,4247.308,
1199,657.2462270853989,18.1095,,,,51,,,,,,,8925.917,
1896,657.3412775248204,21.947834,,,,96,,,,,,,9865.562,
2208,657.3413924153303,24.102833,,,,3,,,,,,,12141.693,
2163,661.3715873550907,23.8205,,,,91,,,,,,,27793.213,
141,661.3734051238015,11.004267,,,,159,,,,,,,4985.652,
69,661.3737222127181,9.817333,,,,30,,,,,,,39178.47,
1158,661.3738767680709,17.921167,,,,116,,,,,,,12556.066,
575,661.3742832171046,14.7503,,,,12,,,,,,,15308.645,
2391,663.3864305245196,25.912333,,,,,,,,,,,5318.1084,
2164,663.3880801162803,23.8205,,,,91,,,,,,,48451.918,
1897,665.3213868876776,21.947834,,,,96,,,,,,,33327.938,
2485,665.4034404355903,27.728167,,,,,,,,,,,3180.7495,
2288,667.3626248321982,24.650333,,,,66,,,,,,,40106.383,
1433,667.3742867275922,19.246834,,,,94,,,,,,,8066.8423,
2289,668.3652781906603,24.650333,,,,66,,,,,,,18336.95,
2237,669.3437247965372,24.335667,,,,2,18,[2M+H]+,,2,2248;2237,334.1681,104362.81,
2238,670.3463074926844,24.335667,,,,2,,,,,,,48695.613,
1953,671.3567326819319,22.381666,,,,82,,,,,,,11837.633,
1184,673.3379751904467,18.033833,,,,51,,,,,,,45579.25,
1865,673.3506716561764,21.78,,,,19,7,[M+H]+,,2,1866;1865,672.34367,4617.8276,
1980,675.3522098467587,22.6285,,,,,,,,,,,9219.408,
2134,675.3526960106035,23.618334,,,,14,,,,,,,13464.785,
1298,675.389590933987,18.640833,,,,6,,,,,,,309892.9,
1299,676.3926990929388,18.640833,,,,6,,,,,,,147522.89,
1096,677.4008456090227,17.603666,,,,15,,,,,,,11359.433,
2285,679.3810207543403,24.608334,,,,32,,,,,,,4728.981,
2181,679.3823561335945,23.94,,,,41,,,,,,,7292.6284,
2573,681.3430362829404,31.445833,,,,,,,,,,,2223.832,
2048,683.3572215925622,23.1115,,,,1,,,,,,,13605.597,
1760,685.3389885035768,21.1435,,,,48,,,,,,,5474.871,
2271,685.3716931656758,24.449167,,,,,,,,,,,15634.595,
1301,685.4088377746382,18.640833,,,,6,,,,,,,22246.498,
2260,686.3708558522068,24.3725,,,,2,18,[2M+NH4]+,,3,2248;2234;2260,334.1681,30388.906,
1555,687.42351109376,19.930834,,,,27,,,,,,,9079.706,
1443,687.4244961225338,19.287167,,,,108,,,,,,,57480.24,
1347,689.3345835455714,18.794333,,,,83,,,,,,,6142.0894,
651,689.4030365304931,15.337334,,,,105,,,,,,,9007.99,
2240,691.3261390898597,24.335667,,,,2,18,[2M+Na]+,,2,2240;2234,334.1681,156747.77,
1451,691.3836770596224,19.326,,,,108,,,,,,,29497.762,
2169,693.3528080035682,23.858334,,,,41,,,,,,,61206.1,
2128,693.353277862804,23.5785,,,,14,,,,,,,43479.28,
1434,694.392478767983,19.246834,,,,94,,,,,,,10557.85,
1866,695.3331526954493,21.78,,,,19,7,[M+Na]+,,2,1865;1866,672.34367,5766.2446,
2425,696.3527034958801,26.501333,,,,130,,,,,,,22704.09,
1837,697.3378811877348,21.609667,,,,67,,,,,,,22525.848,
2532,699.3526131773411,29.378166,,,,79,31,[M+H]+,,2,2532;2533,698.34559,3598.9849,
2214,699.3880673222002,24.141834,,,,3,,,,,,,22144.615,
835,702.4108410147003,16.116066,,,,73,,,,,,,8894.15,
2519,703.3269774507639,28.839,,,,,,,,,,,2471.8254,
2351,703.3488017259236,25.426834,,,,52,,,,,,,4829.858,
389,703.3831716494295,13.566167,,,,101,,,,,,,14266.013,
1331,703.4207421626116,18.755833,,,,83,,,,,,,138773.08,
2352,705.364313697715,25.426834,,,,52,22,[2M+H]+,,2,2344;2352,352.17828,79318.76,
1576,705.3961748013547,20.058,,,,89,,,,,,,5491.121,
1945,707.3516491647845,22.300167,,,,,,,,,,,9710.867,
1487,709.3109251020508,19.483,,,,18,,,,,,,20006.963,
2227,709.3481731271507,24.2255,,,,3,,,,,,,8991.015,
227,709.3939640360412,12.38085,,,,103,,,,,,,4734.6455,
251,709.3943103043539,12.6694,,,,85,,,,,,,14358.758,
2482,710.3689563626675,27.682833,,,,59,,,,,,,61173.918,
2177,711.3529352494428,23.897667,,,,41,,,,,,,42181.82,
1596,711.3530078812671,20.271,,,,97,,,,,,,12156.733,
2065,711.3537698487679,23.264166,,,,36,,,,,,,171062.89,
1302,711.3656605889363,18.640833,,,,6,,,,,,,19348.621,
2443,711.3881943072016,26.826166,,,,154,,,,,,,17532.746,
2066,712.3566969054779,23.264166,,,,36,,,,,,,82308.586,
2178,712.3569417622596,23.897667,,,,41,,,,,,,21202.309,
1614,713.3388125426209,20.355833,,,,97,,,,,,,5711.9453,
105,713.3818042132287,10.5928,,,,151,,,,,,,58033.63,
1815,715.3493713042274,21.480833,,,,0,,,,,,,8302.533,
2304,715.3836894413862,24.780167,,,,43,,,,,,,44460.254,
2418,717.3293765273289,26.4075,,,,76,,,,,,,17528.191,
2005,717.379022456922,22.828,,,,5,9,[2M-H2O+H]+,,2,1999;2005,367.19185,7005.479,
2321,717.3986056171616,25.125668,,,,,,,,,,,22353.443,
1465,717.4359287854262,19.402334,,,,55,,,,,,,934815.5,
634,719.3796681993585,15.218734,,,,111,,,,,,,26170.16,
623,719.3800695076028,15.026317,,,,104,,,,,,,10914.635,
1366,719.4128981325899,18.912,,,,84,,,,,,,7032.2925,
2533,721.3350544666606,29.378166,,,,79,31,[M+Na]+,,2,2532;2533,698.34559,3219.2854,
2141,723.3639286125928,23.659,,,,49,,,,,,,14835.662,
2354,727.3462199063275,25.426834,,,,52,22,[2M+Na]+,,3,2337;2340;2354,352.17828,60378.965,
1976,727.34818946425,22.584333,,,,7,,,,,,,14372.164,
1891,727.349088842664,21.906834,,,,124,,,,,,,18007.168,
837,727.4171498011453,16.116066,,,,73,,,,,,,13526.576,
2529,729.3620800329988,29.279333,,,,,,,,,,,2025.7964,
1965,729.3622656250448,22.541666,,,,7,,,,,,,25001.234,
2130,729.3635055179368,23.5785,,,,14,,,,,,,142670.88,
2131,730.3665913219907,23.5785,,,,14,,,,,,,70880.51,
2241,731.3453702036895,24.335667,,,,2,16,[M+H]+,,2,2243;2241,730.33781,136175.0,
2454,731.3771705737092,27.007833,,,,99,,,,,,,8584.578,
2363,731.4112498685286,25.512333,,,,45,,,,,,,9087.812,
1258,731.4147671791624,18.397667,,,,126,,,,,,,2431.9912,
1597,731.4497249783835,20.271,,,,97,,,,,,,6415.43,
2242,732.3483014380622,24.335667,,,,2,,,,,,,66896.05,
2386,733.393144237908,25.865,,,,150,,,,,,,16165.486,
812,733.3942976123033,16.000166,,,,,,,,,,,17312.898,
1394,733.4287396695904,19.0395,,,,84,,,,,,,4500.3525,
1489,733.4310050060686,19.483,,,,18,,,,,,,78407.15,
883,737.390011752895,16.4268,,,,107,,,,,,,19388.502,
1055,737.4268259973727,17.407667,,,,13,,,,,,,459533.6,
1335,739.3960377902862,18.755833,,,,83,,,,,,,28606.418,
2330,740.3436038921064,25.2175,,,,10,,,,,,,5586.4956,
