formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C23H37N5O7	[M + H]+	C23H38N5O7+	87,605	87,605	0,000	33	0,710	-2,377	5,311	-0,574		496,276	1294	585861397192555603	585822227522549514	1824
1	C29H44N8O9	[M + H]+	C29H45N8O9+	97,486	97,486	0,000	49	0,861	2,921	3,584	9,669		649,337	1294	585861622888059520	585822227602241295	1826
1	C34H47ClN10O7	[M + H]+	C34H48ClN10O7+	76,107	76,107	0,000	39	0,787	0,997	4,017	7,577		743,345	1294	585861568496324930	585822227681933076	1830
1	C27H50N10O8S	[M + Na]+	C27H50N10NaO8S+	34,634	34,634	0,000	45	0,801	-2,029	4,058	-6,769		697,338	1297	585861789133495264	585822227790984985	1837
1	C17H18N2O	[M + H]+	C17H19N2O+	35,417	32,514	2,903	8	0,410	-1,900	6,832	-0,860		267,149	1299	585861676008921241	585822227904231198	1843
1	C38H59N5O14	[M + H]+	C38H60N5O14+	35,742	34,026	1,716	20	0,641	3,631	5,708	2,162		810,415	1299	585861799946411088	585822228000700195	1850
1	C22H35N5O2S	[M + H]+	C22H36N5O2S+	100,061	100,061	0,000	40	0,709	-2,279	6,442	-9,241		434,254	1304	585861657814030107	585822228113946408	1854
1	C12H21N5O4S	[M + H]+	C12H22N5O4S+	61,085	61,085	0,000	28	0,506	6,402	6,402	1,049		332,139	1307	585862735406227238	585822228227192621	1858
1	C20H29N5O3S	[M + H]+	C20H30N5O3S+	77,643	77,643	0,000	29	0,701	-1,618	3,588	2,291		420,207	1307	585861687224490368	585822228323661618	1860
1	C29H50N4O15	[M + H]+	C29H51N4O15+	129,391	129,391	0,000	39	0,685	0,423	3,647	-2,004		695,333	1307	585861944771534156	585822228441102135	1866
1	C44H53NO11	[M + H]+	C44H54NO11+	45,479	43,021	2,458	23	0,656	0,799	4,117	-2,380		772,367	1307	585864001540777379	585822228541765436	1867
